year,month,Location_district,Crop_nam,harvested,Productio,yield
2001,April,Nuwara Eliya,Beans,119.33333333333333,460.5,3.8589385474860336
2001,April,Nuwara Eliya,Beetroot,106.0,1146.3333333333333,10.814465408805031
2001,April,Nuwara Eliya,Cabbage,165.83333333333334,2876.1666666666665,17.343718592964823
2001,April,Nuwara Eliya,Carrot,138.16666666666666,1535.1666666666667,11.110977080820266
2001,April,Nuwara Eliya,Tomatoes,57.666666666666664,595.6666666666666,10.329479768786127
2001,April,Polonnaruwa,Beans,1.3333333333333333,8.0,6.0
2001,April,Polonnaruwa,Beetroot,0.3333333333333333,2.3333333333333335,7.000000000000001
2001,April,Polonnaruwa,Cabbage,0.16666666666666666,0.8333333333333334,5.000000000000001
2001,April,Polonnaruwa,Carrot,0.0,0.0,0.0
2001,April,Polonnaruwa,Tomatoes,7.666666666666667,30.333333333333332,3.9565217391304346
2001,April,Puttalam,Beans,0.0,0.0,0.0
2001,April,Puttalam,Beetroot,0.0,0.0,0.0
2001,April,Puttalam,Cabbage,0.16666666666666666,0.6666666666666666,4.0
2001,April,Puttalam,Carrot,0.0,0.0,0.0
2001,April,Puttalam,Tomatoes,3.1666666666666665,13.0,4.105263157894737
2001,April,Ratnapura,Beans,38.0,275.3333333333333,7.245614035087719
2001,April,Ratnapura,Beetroot,1.6666666666666667,16.166666666666668,9.700000000000001
2001,April,Ratnapura,Cabbage,2.1666666666666665,14.833333333333334,6.846153846153847
2001,April,Ratnapura,Carrot,0.5,6.333333333333333,12.666666666666666
2001,April,Ratnapura,Tomatoes,42.5,286.0,6.729411764705882
2001,April,Trincomalee,Beans,0.16666666666666666,0.16666666666666666,1.0
2001,April,Trincomalee,Beetroot,0.0,0.0,0.0
2001,April,Trincomalee,Cabbage,0.5,1.1666666666666667,2.3333333333333335
2001,April,Trincomalee,Carrot,0.0,0.0,0.0
2001,April,Trincomalee,Tomatoes,6.666666666666667,73.16666666666667,10.975
2001,April,Vavuniya,Beans,0.0,0.0,0.0
2001,April,Vavuniya,Beetroot,0.6666666666666666,2.5,3.75
2001,April,Vavuniya,Cabbage,2.5,17.0,6.8
2001,April,Vavuniya,Carrot,0.0,0.5,0.0
2001,April,Vavuniya,Tomatoes,3.0,17.333333333333332,5.777777777777778
2001,May,Ampara,Beans,0.0,0.16666666666666666,0.0
2001,May,Ampara,Beetroot,0.0,0.0,0.0
2001,May,Ampara,Cabbage,0.16666666666666666,0.6666666666666666,4.0
2001,May,Ampara,Carrot,0.0,0.0,0.0
2001,May,Ampara,Tomatoes,12.333333333333334,117.33333333333333,9.513513513513512
2001,May,Anuradhapura,Beans,0.6666666666666666,2.6666666666666665,4.0
2001,May,Anuradhapura,Beetroot,0.6666666666666666,2.5,3.75
2001,May,Anuradhapura,Cabbage,0.5,1.0,2.0
2001,May,Anuradhapura,Carrot,0.0,0.0,0.0
2001,May,Anuradhapura,Tomatoes,32.166666666666664,123.33333333333333,3.83419689119171
2001,May,Badulla,Beans,221.66666666666666,1205.1666666666667,5.436842105263159
2001,May,Badulla,Beetroot,27.166666666666668,315.3333333333333,11.607361963190183
2001,May,Badulla,Cabbage,101.0,2038.6666666666667,20.184818481848186
2001,May,Badulla,Carrot,49.0,472.6666666666667,9.646258503401361
2001,May,Badulla,Tomatoes,122.0,1114.8333333333333,9.137978142076502
2001,May,Batticaloa,Beans,0.0,0.0,0.0
2001,May,Batticaloa,Beetroot,0.0,0.0,0.0
2001,May,Batticaloa,Cabbage,0.0,0.0,0.0
2001,May,Batticaloa,Carrot,0.0,0.0,0.0
2001,May,Batticaloa,Tomatoes,13.166666666666666,72.16666666666667,5.481012658227849
2001,May,Colombo,Beans,0.0,0.0,0.0
2001,May,Colombo,Beetroot,0.0,0.0,0.0
2001,May,Colombo,Cabbage,0.0,0.0,0.0
2001,May,Colombo,Carrot,0.0,0.0,0.0
2001,May,Colombo,Tomatoes,0.16666666666666666,0.16666666666666666,1.0
2001,May,Galle,Beans,0.0,0.0,0.0
2001,May,Galle,Beetroot,0.0,0.0,0.0
2001,May,Galle,Cabbage,0.0,0.0,0.0
2001,May,Galle,Carrot,0.0,0.0,0.0
2001,May,Galle,Tomatoes,0.16666666666666666,0.6666666666666666,4.0
2001,May,Gampaha,Beans,0.0,0.0,0.0
2001,May,Gampaha,Beetroot,0.0,0.0,0.0
2001,May,Gampaha,Cabbage,0.0,0.0,0.0
2001,May,Gampaha,Carrot,0.0,0.0,0.0
2001,May,Gampaha,Tomatoes,0.0,0.0,0.0
2001,May,Hanbantota,Beans,0.0,0.0,0.0
2001,May,Hanbantota,Beetroot,0.0,0.0,0.0
2001,May,Hanbantota,Cabbage,0.0,0.0,0.0
2001,May,Hanbantota,Carrot,0.0,0.0,0.0
2001,May,Hanbantota,Tomatoes,29.833333333333332,158.0,5.29608938547486
2001,May,Jaffna,Beans,5.666666666666667,30.833333333333332,5.441176470588235
2001,May,Jaffna,Beetroot,3.6666666666666665,25.5,6.954545454545455
